Updated 3/22/2024,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00050136,"Black, Colt",R,MD06,H2MD08209,,,
,N00050659,"Black, Dianne",D,MS01,H2MS01148,,,
,N00048824,"Black, Gary",R,GAS2,S2GA00209,,,
,N00051027,"Black, Karla",R,CA06,H2CA06333,,,
,N00051660,"Black, Oliver",3,WA03,H2WA03225,,,
,N00050410,"Black, Scott",R,NH02,H2NH02286,,,
,N00051517,"Blacke, Frank",R,OK04,H2OK04162,,,
,N00051894,"Blacker, Kevin",3,CT02,H2CT02195,,,
,N00048149,"Blackman, Walt",R,AZ02,H2AZ01339,,,
,N00048146,"Blalock, Andy",R,AL05,H2AL05110,,,
,N00048384,"Blanchard, Lynda",R,ALS2,S2AL00137,,,
,N00042288,"Blanco, Jaimy",R,TX29,H8TX29110,,,
,N00032969,"Blandford, Keith",R,SC01,H2SC01119,,,
,N00049576,"Blaney, Jaqueline",D,LA06,H2LA06033,,,
,N00051248,"Blankenship, Arnold",R,KYS2,S2KY00178,,,
,N00051246,"Blanton, Joshua Sr",D,KYS2,S2KY00152,,,
,N00048999,"Blasi, Michael",R,NJ04,H2NJ04181,,,
,N00049580,"Blask, Washington",I,MA05,H2MA05138,,,
,N00040107,"Blatchford, Edgar",D,AKS2,S6AK00177,,,
,N00051009,"Blevins, Kenneth",L,OKS1,S2OK00236,,,
,N00051440,"Bloom, Todd",R,WA06,H2WA06186,,,
